Total original B.O,RandomForestRegressor predictions
92618117.0,9443172.39
46187511.0,35010086.66
336359676.0,258681486.0
2859811.0,3099203.38
1138355.0,4158639.91
39377700.0,40769391.97
257858943.0,249691043.25
12970401.0,17900119.23
43057552.0,128558392.47
306770545.0,8886690.18
270232.0,74916060.01
542351353.0,720214281.8
23007150.0,24086208.57
99750000.0,8644010.15
14321070.0,8313871.97
26121638.0,62859811.79
95989590.0,86492977.67
5806666.0,4217579.97
144110682.0,87562869.26
6000000.0,7629652.75
61910507.0,89099298.26
749375.0,53145.28
96068724.0,136728233.99
29548291.0,30123824.71
8224998.0,13144750.92
26716191.0,27891681.53
205298907.0,139256903.43
701012746.0,873724897.48
186883563.0,199083609.7
149228078.0,138878005.44
529136.0,1886392.7
115150424.0,180609793.15
13367948.0,46172066.45
1070053.0,74530601.43
236500000.0,119796862.62
120592276.0,196769166.74
25268680.0,112558429.19
26078500.0,22292763.99
152566881.0,230756193.79
149804632.0,7885420.02
15360539.0,11817884.5
166598362.0,122572795.18
536544.0,776709.43
4956401.0,4897940.73
634379.0,8303623.22
21458229.0,23227801.07
155564919.0,152951122.22
63320521.0,115970201.57
290701374.0,270541754.26
557545.0,12843765.58
15432314.0,15408718.67
10206551.0,9379471.89
12581713.0,12656369.9
9172000.0,73073862.28
927074.0,696621.14
