Total original B.O,RBFNetwork predictions
12617472.0,7553775.994142283
42245180.0,62734831.964911625
3281232.0,2471051.5430295346
2509344.0,-7700125.360188562
55337042.0,60794592.137471095
57512470.0,67274657.57617863
10006000.0,200893.68908331633
124033872.0,123024232.3832779
227328585.0,10082594.525740342
1236094.0,-55830944.0406981
9289349.0,1110090.1282750631
33473297.0,19067889.78885399
155620350.0,61998381.24335435
3859755.0,2119941.018326972
158411.0,-2562252.576719775
6343015.0,12030954.322605232
259425249.0,35656642.47415046
40055897.0,13090163.731189888
377002.0,-4978660.313040852
164800000.0,7078307.296045907
72004159.0,57051758.793624625
8593154.0,-7019012.836530755
200238.0,6243871.760176485
6342668.0,2037597.476601224
192617891.0,3719204.998083316
316479150.0,169650384.38241446
1301562.0,485580.1996800858
10000000.0,7304794.20427417
118729073.0,24009295.816651728
610432.0,2736631.048149108
3016496.0,856967.8182345997
67130045.0,96063435.00193086
122529966.0,127068534.33600417
87950928.0,9096466.904144617
4907779.0,182717.98068186696
74433837.0,35598234.34589166
504050219.0,10714429.335204381
20408260.0,30025863.877772234
144123.0,-2118284.1889215684
230677636.0,-12634489.135500047
117729618.0,37845497.59660223
20005613.0,3213.5002255373515
55307857.0,23791524.767572645
11285154.0,291896146.2278018
5835247.0,162977.82908365686
2769756.0,-1241869.6266558901
139716717.0,127364882.92014968
381367046.0,16716741.932558909
25913869.0,10650260.13611742
5855392.0,6899211.646188179
23661038.0,784014.1302859164
25852508.0,1362804.87257483
2000093.0,1412851.385943037
162778384.0,5853868.314464819
75997067.0,72790388.97355305
32589493.0,33425381.98279621
24716190.0,6531939.088391586
4360548.0,11342502.65196299
3623609.0,4841734.639728759
13587246.0,2906045.8962441883
13994920.0,8380736.67613021
266824291.0,107342907.38637841
16235738.0,9478670.717817094
3098590.0,-60844.99776363757
33000000.0,9656153.940080086
5520368.0,3891250.1743195476
208300000.0,34954.25794912551
2654096.0,13148787.03927157
4000000.0,722480.8114240823
435412594.0,78837399.01926759
124221.0,220282.67481372188
5299037.0,2369479.7754678023
4134992.0,1457234.993031011
6264058.0,161044.73027741094
17637000.0,9721655.820426218
67338219.0,57011163.91745489
356770593.0,324224214.7526741
159157447.0,67590867.9965711
22567607.0,5551738.641719519
108027701.0,84621523.2780433
4248622.0,135238.53433848696
139500.0,2778688.267222731
4304286.0,2880631.730869104
36299898.0,11001740.235562118
15126948.0,9783999.371806154
14717854.0,7048063.708463888
170362581.0,141102863.33871418
160700000.0,143941127.9190351
18471850.0,7472953.970534786
163527824.0,117676228.68790555
98393930.0,50545432.88798968
60282876.0,399835.9303847975
1324299.0,13108373.169556439
141267370.0,74013642.31111509
26300000.0,6026198.064548688
3180252.0,1429896.0976448182
81464486.0,28692844.820472904
4984663.0,1620630.724174852
18429.0,1496588.5440528477
30000000.0,468712.6504520167
27385582.0,26760059.722010724
1716001.0,98027.08820319467
29863840.0,197409247.33554164
296872367.0,188264835.19688708
2500000.0,11061142.954754021
46038636.0,2065100.8159350539
33013805.0,1092098.8330929999
287215196.0,330868557.6760254
80369970.0,25469071.193841964
50813834.0,608729.7787660523
15521619.0,4351811.24614647
5665641.0,-971519.4283529944
7175592.0,236345.98617343477
237814327.0,-820561.5895485785
66786966.0,12172868.951832753
17700000.0,4452600.488386351
76086711.0,1209709.1586326372
45000000.0,124618605.22237197
133892212.0,46136115.01076171
23894000.0,9928665.81319444
113310547.0,146662547.31016165
15466961.0,6950012.498357418
64626786.0,8057971.251012764
290930148.0,30064591.763956167
55842724.0,41722085.577038795
1878000.0,996842.0549674418
449326618.0,150778198.83154628
224390706.0,189715764.82759473
1072817964.0,346372153.6419787
9765361.0,-1539569.4143287046
5885881.0,5068071.7265738975
42598498.0,16089421.632736718
6419876.0,3200456.0888079475
41179660.0,4650490.836960805
13853284.0,3665572.8279352793
6640346.0,3185573.4090526053
19982.0,10899101.185435772
3600000.0,12124552.150055181
72989781.0,3427380.2934903516
169955142.0,205219712.34700498
314709717.0,427466916.6886373
274543085.0,488271.5168366995
7220490.0,3061799.154415915
708272592.0,639908971.0384375
34356760.0,10889046.741451386
63749955.0,86031993.70388223
178503788.0,4352213.749065431
72571864.0,13631232.80153258
27342246.0,30965779.21774291
36230219.0,3609.7143478277703
8221700.0,5758285.096380025
647263005.0,10265919.605837017
81209222.0,7087243.670841445
43492389.0,293065.3470966048
755249.0,-25224439.006247297
2410162.0,61367814.89985446
40996665.0,25166770.653200243
22108977.0,11460758.251483852
543973.0,-1736095.9142231809
11436929.0,3795708.380098694
47782426.0,45629241.736679725
43306392.0,1025840.0761346221
6653715.0,2284188.27323165
65084116.0,8429120.909961779
15671.0,91850.85496316939
218535708.0,70558167.54200326
25030444.0,378569.05049337656
49800000.0,753654.0167985831
52461017.0,35170144.361707956
252091016.0,75552403.30957766
48577431.0,28817351.9988506
21799652.0,8571237.278466016
304249198.0,106608999.28108272
109492484.0,65327214.497644156
10490791.0,6972186.460797034
82000000.0,753828.3902688114
969000.0,152173317.07088736
125687.0,4133080.5656467965
9000000.0,-2153377.8151437766
7147008.0,6870288.784222831
180047784.0,163522819.30544022
68848446.0,56182687.06973629
358824714.0,129282802.03178927
79282312.0,97066230.32914063
22879194.0,2002284.6691171105
5000000.0,5374863.526717541
6812530.0,4937668.557378468
116148537.0,9682523.427261358
217569328.0,130677571.25353473
5243335.0,1376870.0400980355
10000000.0,6839401.076058308
105195.0,-80243.55541687751
38122000.0,13929837.655889705
27700000.0,8441433.055114878
15024232.0,9905424.361238923
30089110.0,8133189.829839946
374890034.0,462256181.00306904
20883834.0,2668895.6401872085
259736090.0,51738088.1736972
16830252.0,3470104.309310686
5269757.0,-16259786.915921679
135893.0,5679262.3278557975
7000000.0,38326529.75709308
19000000.0,7545703.500778941
10026255.0,7269374.618904652
10773007.0,1786308.953578188
163037661.0,124022951.98448096
16900000.0,9260543.69140007
20000000.0,842957.761815651
10986645.0,3340917.455740184
200182160.0,50902687.121653184
21361109.0,12169558.226726102
230779191.0,56471716.91057034
45916769.0,30434763.02908751
139700000.0,45706527.28282084
41509797.0,11852126.546540188
6965361.0,5817900.024691501
75984700.0,17034974.331880786
19731505.0,13973984.346212348
710383.0,57305628.8171793
333771037.0,227133005.57991892
14471440.0,11670672.502681883
19665004.0,19386219.105358224
29400000.0,821300.5473804835
125053490.0,336343912.6485713
5632086.0,1445021.4145305234
16316258.0,5616595.889323081
282778100.0,90179599.16240999
8925775.0,11968360.68794395
1313548963.0,392548069.44886494
2700000.0,45698158.74701184
7881335.0,615470.2510371392
14582182.0,7739896.941093266
11917143.0,138087604.5024307
579446407.0,117513958.92322381
1331635141.0,15456700.49478621
2347000.0,4340008.326669387
22099847.0,35743284.79982467
352161.0,-154931.0379600357
77307226.0,74063521.05713001
14375181.0,18150658.42082554
103913405.0,21090963.025074992
40053595.0,25711812.723452948
4000000.0,-397400.95108199824
16595791.0,8824107.986814754
24419219.0,1551005.021685738
135569212.0,10947234.81840892
199646680.0,90797520.91004267
27979399.0,26287445.47265153
1038228.0,25834946.21367621
71000000.0,24605495.96125163
5241315.0,34225668.02150076
12214338.0,20397902.930275068
4191023.0,3720807.4891425306
6086891.0,793445.655197538
3695409.0,1118217.7348336668
8123860.0,-39082991.52208793
14358033.0,9195764.487115517
16585503.0,13538609.722651124
23367586.0,164561263.32955253
2061804.0,7589722.187279971
38780888.0,1533113.6320027008
3150170.0,87858.12314738163
11276846.0,4177922.7587242457
3811040.0,944276.1589148681
30360570.0,3742879.886502222
890303.0,16472685.491094168
432224634.0,821458101.8498553
31046220.0,10288644.115513382
39246734.0,8971830.922986303
178100000.0,109921966.7088019
83792062.0,1265782.2094009295
77477297.0,54648278.085640974
352288341.0,172839860.91086403
1072767997.0,255425168.58107203
4800000.0,3753309.6013761284
118209778.0,4425047.693321715
62646763.0,17788271.11073221
231928227.0,26185241.626454897
35106706.0,7373767.669446917
7939676.0,1143038.3600955291
470986200.0,9623431.17230535
35681080.0,32380429.70142323
25122195.0,14826584.684082288
16638300.0,15883636.587201808
34873513.0,25928137.62071871
49621440.0,-4591764.434401212
39846896.0,-11856346.649579167
3343567.0,943702.601344216
53797409.0,2959463.7381380894
78481410.0,43864606.58702753
42137871.0,1391292.831552769
25357771.0,4022880.7384616616
4230717.0,6371435.518163137
117270765.0,47675157.75391475
14271297.0,7414812.830875228
427300260.0,79263393.35979219
25889208.0,10715258.5243233
23182223.0,8996244.39014477
475488.0,1018339.7773553362
2598505.0,-1029759.490913251
68613992.0,21422632.40528132
59795070.0,11081655.425870433
4388500.0,1347802.159809791
62226214.0,36869118.33449433
437547.0,5105767.918501377
12898064.0,874404.1128256443
208094550.0,3421582.11355257
163838217.0,28510383.52760217
22000000.0,7878197.226531196
263892820.0,79159108.03080869
40014998.0,8518263.292122036
306941670.0,55890778.96031001
1329660.0,2106031.1578731756
200340.0,2438104.153036552
3685862.0,29908898.293522112
7496681.0,6160719.281961613
42799060.0,26472530.56842731
28866028.0,26590055.301158402
158750817.0,184971653.2402163
140000000.0,8195409.477688443
