Total original B.O,XGBoost predictions
16202210.0,24385126.0
12567770.0,23309626.0
336529144.0,99057930.0
27805632.0,20104008.0
60780981.0,101057304.0
167586.0,128240440.0
20722450.0,16051203.0
153535982.0,119548584.0
20790486.0,65013948.0
25038874.0,31056998.0
14600000.0,24044760.0
794697557.0,277839550.0
128745578.0,121682060.0
18148.0,288368580.0
130673154.0,65013948.0
36722311.0,17513674.0
528731.0,6055030.0
19526014.0,28208874.0
88611837.0,24062586.0
190376181.0,184472880.0
7721851.0,20362724.0
310566162.0,284771800.0
74781999.0,132847820.0
50681884.0,103541940.0
28773637.0,52098140.0
2848234.0,18521488.0
27084499.0,57514892.0
1045713802.0,412125700.0
1055083596.0,618565100.0
131237688.0,181127040.0
238059569.0,261136560.0
14297083.0,29034484.0
342416460.0,367664160.0
49741540.0,4562360.5
465487583.0,461034880.0
8400000.0,24385126.0
9208876.0,24064444.0
10353438.0,18009356.0
16727470.0,56683084.0
16873925.0,27294210.0
12905107.0,35351650.0
31286759.0,53014496.0
3185717.0,21977742.0
40016662.0,35662140.0
68275764.0,41081140.0
50873923.0,100355780.0
324976.0,6055030.0
9230769.0,38844396.0
14636067.0,18521488.0
73956241.0,22493966.0
17200000.0,18009356.0
62176754.0,53014496.0
167780960.0,53200828.0
37306334.0,41549924.0
117085297.0,54001910.0
101773.0,239838660.0
12282994.0,29103248.0
38900000.0,38066620.0
14929184.0,15561414.0
23271741.0,35913120.0
69847348.0,68078020.0
21289527.0,23275048.0
31943401.0,40115070.0
12017369.0,22493966.0
24218678.0,16690550.0
16511348.0,30656474.0
6955892.0,37319504.0
521170825.0,618565100.0
21577076.0,27294210.0
38261299.0,57141260.0
135808837.0,127485304.0
6468664.0,40320196.0
656695615.0,264228110.0
7985929.0,39442440.0
56096200.0,92229120.0
5965646.0,10832664.0
3000000.0,109359640.0
3531971.0,97962490.0
9000000.0,37653044.0
350976753.0,381398900.0
554600000.0,57402180.0
15349948.0,21169588.0
46752858.0,56683084.0
82078046.0,100380410.0
63895607.0,23553600.0
51684798.0,31483226.0
3815394.0,37319504.0
77628265.0,91189390.0
164920076.0,121682060.0
62617547.0,65064964.0
164285587.0,170229060.0
48017402.0,75755090.0
105475310.0,161148480.0
11307615.0,28307628.0
52545707.0,68307880.0
850566343.0,616791230.0
153329844.0,66460560.0
111534881.0,171402660.0
11798302.0,22802016.0
648183.0,16051203.0
66132626.0,68078020.0
5119629.0,20967946.0
2024063.0,5571039.5
220796009.0,65064964.0
68109966.0,100380410.0
8025872.0,25983758.0
11124511.0,23553600.0
14812144.0,26730060.0
31261000.0,29584274.0
15779261.0,29095318.0
35856053.0,24385126.0
7008922.0,38844396.0
95592669.0,132847820.0
2852759.0,18521488.0
14566246.0,27294210.0
177241171.0,262918980.0
46819069.0,23241856.0
24324476.0,32337304.0
852558.0,29564698.0
