Total original B.O,KNN predictions
12567770.0,36549710.49559692
336529144.0,366987532.70323735
27805632.0,187378264.95704797
60780981.0,60293005.87435422
167586.0,7450886.746597951
20722450.0,59369702.732063144
153535982.0,102324540.0846211
20790486.0,52968261.97409132
25038874.0,18498700.63560188
14600000.0,12067628.444782557
794697557.0,575704203.7743902
128745578.0,66776902.3973771
18148.0,33703534.74676638
130673154.0,166741810.63807112
36722311.0,93154012.67506258
528731.0,66940551.99610778
19526014.0,95565788.93465546
88611837.0,27098710.995804165
190376181.0,132049495.3642365
7721851.0,18510306.08858582
310566162.0,78243491.44322681
74781999.0,60056457.34294858
50681884.0,195686326.66883883
28773637.0,109734078.07266372
2848234.0,25344060.560669057
27084499.0,71170264.38596982
1045713802.0,743971725.2110176
1055083596.0,1071817468.3960618
131237688.0,137556321.07976216
238059569.0,400779807.20124686
14297083.0,102790158.44350354
342416460.0,201830850.0231138
49741540.0,43384156.41968984
465487583.0,81510851.77707766
8400000.0,7230859.382682748
9208876.0,33427845.95558724
10353438.0,34341412.69055661
16727470.0,129509587.52820952
16873925.0,76976424.38389133
12905107.0,47415698.04793251
31286759.0,39893271.26438357
3185717.0,28148308.915754184
40016662.0,36622467.20290433
68275764.0,191862126.1582916
50873923.0,61085075.781705365
324976.0,25645733.57573427
9230769.0,22698475.814397518
14636067.0,35652808.397985995
73956241.0,70672646.91487935
17200000.0,53489172.7564467
62176754.0,99091264.28310241
167780960.0,159451447.54824394
37306334.0,133051403.48140943
117085297.0,46283906.47067989
101773.0,2633274.4292357564
12282994.0,61708572.33130591
38900000.0,12644947.8028215
14929184.0,43496559.656503856
23271741.0,16196657.090703424
69847348.0,26234247.244910922
21289527.0,77044894.48098332
31943401.0,57973232.97398931
12017369.0,47723202.75788431
24218678.0,16364668.934484964
16511348.0,4729901.405223423
6955892.0,3675424.59747649
521170825.0,329441808.34460145
21577076.0,51257411.66650821
38261299.0,23286258.84888823
135808837.0,98475009.04741044
6468664.0,53002767.44624648
656695615.0,561441035.9332826
7985929.0,30980428.511957295
56096200.0,30785140.64311882
5965646.0,20633750.959693894
3000000.0,34469090.75089993
3531971.0,16398765.490311882
9000000.0,67025534.12999519
350976753.0,380863675.65268046
554600000.0,426267631.1160078
15349948.0,52821341.2580294
46752858.0,56595901.92253897
82078046.0,277113326.47676593
63895607.0,126734214.65140826
51684798.0,14975218.510938363
3815394.0,41929772.79968101
77628265.0,240689682.862015
164920076.0,193496843.8515334
62617547.0,23794135.63739808
164285587.0,78479508.91567487
48017402.0,59491179.04792591
105475310.0,15897174.072735868
11307615.0,29699668.14375759
52545707.0,38222397.264568985
850566343.0,712584413.6893537
153329844.0,47360328.63406673
111534881.0,60974670.09514303
11798302.0,40404138.622386456
648183.0,77522286.6319293
66132626.0,24883294.76180303
5119629.0,33591047.9054043
2024063.0,62749347.60165137
220796009.0,291529320.7157645
68109966.0,138932401.65027297
8025872.0,25534237.86753226
11124511.0,27247030.315225933
14812144.0,31106107.183094237
31261000.0,25163523.066859502
15779261.0,57831733.13384765
35856053.0,81011872.08324154
7008922.0,21476337.637344427
95592669.0,46286360.22606076
2852759.0,54369023.82216565
14566246.0,84088037.27567106
177241171.0,224017012.22083595
46819069.0,56550205.54103853
24324476.0,71276666.69517604
852558.0,55740305.87957132
12850033.0,54289519.3491419
53401938.0,42635121.833304696
19637147.0,21896550.8376199
37497480.0,49530975.05926933
9205935.0,93131824.23239394
23689877.0,26994138.88668193
23106971.0,91973011.97310424
874000.0,40268493.398569256
57138719.0,91281094.55664593
116280867.0,51436174.04143459
172878928.0,96613367.65086249
2853801.0,37557580.82499031
10885816.0,6963089.481153601
27789904.0,49444500.334413916
57697426.0,63887234.90668509
2053931.0,115106540.80025783
18120267.0,91602151.01387735
167851995.0,97336586.96071531
78652207.0,28556823.86200219
68336997.0,101048222.33612645
710644566.0,344301571.949029
96971293.0,92827800.17114411
47289148.0,32984074.566055655
21375166.0,32450302.117396683
21156152.0,13315247.062190674
7785229.0,13577931.020082692
38959900.0,118603021.33572243
96096018.0,252151239.81892747
529076069.0,372569375.0826414
254310003.0,321686743.61964124
4271022.0,44997080.253379315
15427.0,83925306.23760228
94029472.0,106790466.03146009
74870866.0,42907793.09392319
27731527.0,52770173.88067529
18100189.0,35046810.01551862
37336874.0,46610831.72807264
266600000.0,22495989.54340147
19123851.0,26562276.433067333
18413804.0,69582619.6933055
33592700.0,74983066.89716215
9000000.0,43227872.31351922
157300954.0,26317642.928067464
46829309.0,54186601.660107866
2354875.0,7586955.951089258
1887554.0,7508178.796124096
6000000.0,22352141.857918866
12500000.0,19516192.238553986
13205411.0,29492011.466098867
211562435.0,138760735.07224533
36734619.0,61150099.41352897
305384865.0,88010788.56084982
234723148.0,85402085.15019788
12254746.0,50285959.20181723
7862131.0,45008200.61957158
4205944.0,4541659.201452759
86432520.0,31165129.88873584
149270999.0,92102700.8400521
4027663.0,63818103.77809194
9561231.0,20963381.5344272
56445534.0,89404606.25542474
213966221.0,192978650.7344422
74156610.0,242073039.175568
153302565.0,42110342.250278376
11279884.0,26190076.304774627
12624174.0,162982872.6966114
15461638.0,66304441.54063462
17400005.0,45086703.315674216
29083597.0,86341970.56776027
13736872.0,33156743.55189722
33339868.0,75709894.6523908
7190505.0,21137328.431291733
42446455.0,77084622.3810357
43164679.0,106701304.0296799
22750356.0,13868802.846073046
41598366.0,3456616.0301597794
17224992.0,40010707.90897968
220648184.0,90368148.48082255
