Total original B.O,NeuralNetwork predictions
128745578.0,5877442.93200327
18148.0,172025081.80894083
130673154.0,74572072.62844521
36722311.0,11875251.10490685
528731.0,91881365.71203478
19526014.0,8061644.922225791
88611837.0,20636483.160124518
190376181.0,148258709.99333283
7721851.0,50952656.42778592
310566162.0,108593810.57577445
74781999.0,160467461.4552923
50681884.0,72675729.00433071
28773637.0,18681816.492416613
2848234.0,155421169.34785628
27084499.0,24933234.164855182
1045713802.0,56503143.6635324
1055083596.0,119554585.33751257
131237688.0,25778018.062085908
238059569.0,83742202.65171915
14297083.0,66448450.82396866
342416460.0,25682770.15187333
49741540.0,91338758.80983424
465487583.0,36480732.674113065
8400000.0,67824245.5271686
9208876.0,42503723.84235709
10353438.0,64083048.907778785
16727470.0,51076983.89079085
16873925.0,4127353.089813126
12905107.0,128616165.7182989
31286759.0,4996278.265627301
3185717.0,102245251.61690311
40016662.0,7885102.118959434
68275764.0,60148756.09571001
50873923.0,27961730.300558507
324976.0,92532498.98608398
9230769.0,77406550.38514806
14636067.0,155204134.09615126
73956241.0,20661026.699992783
17200000.0,64493371.58425898
62176754.0,4537675.4512876095
167780960.0,55321405.97273128
37306334.0,15616446.713540535
117085297.0,8544381.420447133
101773.0,20516209.46148398
12282994.0,40670396.58245955
38900000.0,62658978.84163048
14929184.0,116081841.57922032
23271741.0,31325922.560854614
69847348.0,70455150.1975542
21289527.0,46414945.6436629
31943401.0,41255711.83826871
12017369.0,21554088.52105718
24218678.0,129592865.74286368
16511348.0,100780197.94181491
6955892.0,144514679.09641603
521170825.0,120422752.76604384
21577076.0,3982533.631959275
38261299.0,111632427.40158612
135808837.0,47170179.02496654
6468664.0,140879188.96068096
656695615.0,14047553.056760712
7985929.0,24088449.301914006
56096200.0,150700460.85117254
5965646.0,65673237.09461808
3000000.0,50325096.29520336
3531971.0,47694193.44541926
9000000.0,76151434.6547698
350976753.0,70014137.04684077
554600000.0,26236611.68371631
15349948.0,45787388.86807428
46752858.0,50263063.94123858
82078046.0,5382459.800161937
63895607.0,40477301.88610416
51684798.0,52352583.50520029
3815394.0,145437126.84397924
77628265.0,12840716.91350075
164920076.0,4520926.9026673995
62617547.0,137949083.81443897
164285587.0,9896036.873999633
48017402.0,41442772.774631284
105475310.0,27256333.60385257
11307615.0,27129680.280172873
52545707.0,60572684.74693365
850566343.0,107020253.82738952
153329844.0,17489333.6536276
111534881.0,96493564.96622391
11798302.0,51387115.424381696
648183.0,12768601.713790746
66132626.0,70406877.14098784
5119629.0,7554774.174110897
2024063.0,170939866.86720157
220796009.0,137569270.88101548
68109966.0,5237644.70158677
8025872.0,56407561.36020215
11124511.0,40573849.54928514
14812144.0,43421987.10494111
31261000.0,68789715.46407188
15779261.0,164482789.1243871
35856053.0,68186295.53188258
7008922.0,76923812.95853578
95592669.0,160684508.0768592
2852759.0,155692475.8500293
14566246.0,4054944.8968324233
177241171.0,47007407.31967399
46819069.0,169149247.53623036
24324476.0,125251971.39561431
852558.0,3137747.9899933846
12850033.0,33387844.822927028
53401938.0,110438679.17405808
19637147.0,33260413.86652409
37497480.0,44218498.480741404
9205935.0,23132487.692736007
23689877.0,72844691.94061089
23106971.0,164699834.52578217
874000.0,37242979.52456661
57138719.0,41563456.702618666
116280867.0,38932549.68371806
172878928.0,83579416.9061933
2853801.0,42287559.69135319
10885816.0,132360185.40838642
27789904.0,46752858.6007578
57697426.0,136863868.30111957
2053931.0,50132002.40843116
18120267.0,18223216.158051338
167851995.0,10016719.364290625
