,Title,MPAA Rating,Keywords,Source,Production method,Creative type,Countries,Total original B.O
819,Fright Night,['R'],"['Vampire', 'Supernatural Horror', 'Supernatural', 'Unbelieving Police', 'Neighbors from Hell', 'Romance', 'Kidnap', 'Rescue', 'Film Actor', 'TV Industry']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],24922237.0
820,The Emerald Forest,['R'],"['Action Adventure', 'Kidnap', 'Set in Amazon Rainforest', 'Raised by Kidnappers', 'Coming of Age', 'Cannibalism', 'Rescue']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United Kingdom'],24468550.0
821,Santa Claus,['PG'],['Christmas'],['Original Screenplay'],['Live Action'],['Fantasy'],"['United Kingdom', 'United States']",23721879.0
822,The Care Bears Movie,['Not Rated'],['Toy Adaptations'],['Based on TV'],['Hand Animation'],['Kids Fiction'],"['Canada', 'United States']",22934000.0
823,Friday the 13th Part V: A New Beginning,['Not Rated'],['Slasher Horror'],['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],21930418.0
824,A Nightmare on Elm Street Part 2: Freddy’s Revenge,['R'],['Slasher Horror'],['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],21163999.0
825,Porky's Revenge,['Not Rated'],"['Teenage Sex Comedy', 'Revenge', 'Wedding Day', 'High School Sports', 'Basketball']",['Original Screenplay'],['Live Action'],['Historical Fiction'],['United States'],20518000.0
826,Code of Silence,['R'],"['Action Thriller', 'Gangs', 'Gang Warfare']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],20345361.0
827,Volunteers,['R'],"['Action Comedy', 'Set in Thailand', '1960s', 'Gambling', 'Money Troubles', 'Romance', 'Relationships Gone Wrong', 'Commies', 'Peace Corps']",['Based on Fiction Book/Short Story'],['Live Action'],['Historical Fiction'],['United States'],19875740.0
828,Year of the Dragon,['R'],"['Action Thriller', 'Film Noir', 'Ex-soldier', 'NYPD', 'Police Detective', 'Triads', 'Mafia', 'Organized Crime', 'Death of a Spouse or Fiancée / Fiancé', 'Sex Crimes', 'Revenge']",['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],['United States'],18707466.0
829,Ladyhawke,['Not Rated'],"['Sword & Sorcerer', 'Action Adventure', 'Medieval', 'Human Animal Transformation', 'Fugitive / On the Run', 'Romance', 'Curses']",['Original Screenplay'],['Live Action'],['Fantasy'],['United States'],18400000.0
830,The Sure Thing,['Not Rated'],"['Comedy Drama', 'Romance', 'Graduation']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],18136000.0
831,Invasion U.S.A.,['R'],"['Action Thriller', 'Cold War', 'Commies', 'Terrorism', 'Set in Florida']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],17536256.0
832,The Falcon and the Snowman,['Not Rated'],"['Political Thriller', 'KGB', 'FBI', 'Double Agent', 'Addiction', 'Biography']",['Based on Factual Book/Article'],['Live Action'],['Dramatization'],['United States'],17130087.0
833,To Live and Die in L.A.,['R'],"['Film Noir', 'Action Thriller', 'Crime', 'Buddy Cop', 'Forgery', 'Set in Los Angeles', 'Secret Service Agent']",['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],['United States'],17307302.0
834,Weird Science,['PG-13'],['Wish Granters'],['Original Screenplay'],['Live Action'],['Fantasy'],['United States'],16316258.0
835,Death Wish 3,['R'],"['Gangs', 'Revenge', 'Action Thriller']",['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],"['Israel', 'United Kingdom', 'United States']",16116878.0
836,Baby: Secret of the Lost Legend,['Not Rated'],"['Family Movie', 'Dinosaurs in the Modern World', 'Set in Africa']",['Original Screenplay'],['Live Action'],['Science Fiction'],['United States'],14276095.0
837,The Return of the Living Dead,['R'],"['Zombies', 'Horror Comedy']",['Based on Fiction Book/Short Story'],['Live Action'],['Science Fiction'],['United States'],14238634.0
838,The Color Purple,['PG-13'],"['African Americans', 'Historical Drama', 'Coming of Age', '1986 Oscars Best Picture Nominee']",['Based on Fiction Book/Short Story'],['Live Action'],['Historical Fiction'],['United States'],94029472.0
839,One Magic Christmas,['G'],"['Christmas', 'Family Drama', 'Christmas in November', 'Santa Claus', 'Angels', 'Single Parent']",['Original Screenplay'],['Live Action'],['Fantasy'],['Canada'],13229514.0
840,Real Genius,['PG'],"['College', 'Child Prodigy', 'Military Stealing New Invention', 'Farcical / Slapstick Comedy', 'First Love', 'Romance', 'Inventor']",['Original Screenplay'],['Live Action'],['Science Fiction'],['United States'],12952019.0
841,Perfect,['R'],['Romance'],['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],['United States'],12918858.0
842,Kiss of the Spider Woman,['R'],"['Prison', 'LGBTQ+', 'Life Drama', 'Political Prisoner', 'Romance', 'Secret Police', 'Political', '1986 Oscars Best Picture Nominee']",['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],"['Brazil', 'United States']",14582182.0
843,Lifeforce,['R'],"['Vampire', 'Action Horror', 'Cult Movie', 'Alien Encounters', 'Space Program']",['Based on Fiction Book/Short Story'],['Live Action'],['Science Fiction'],['United Kingdom'],11603545.0
844,Just One of the Guys,['Not Rated'],"['Cross-Dressing', 'High School', 'Undercover', 'Romance', 'Bullies', 'Investigative Journalist', 'Woman in a Male Dominated Profession', 'Sexism', 'Relationship Advice', 'Romantic Comedy']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],11377655.0
845,Clue,['PG'],"['Cold War', 'Government Corruption', 'Surprise Twist', 'Prostitution', 'LGBTQ+', 'Therapists / Therapy', 'Blackmail', 'Revenge', 'Unnamed Character', 'Secret Identity', 'Faked Death', 'Spoof', 'Non-Chronological', 'Dinner Party', 'Crime Comedy', 'Cult Movie']",['Based on Game'],['Live Action'],['Contemporary Fiction'],['United States'],13377261.0
846,Krush Groove,['R'],"['Music Industry', 'Comedy Drama', 'Hip Hop and Rap', 'Fictionalized Version of Yourself', 'Inspired by a True Story', 'Big Break', 'Romance', 'Love Triangle', 'Relationships Gone Wrong', 'Gratuitous Cameos', 'African Americans']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],11052713.0
847,Silver Bullet,['R'],"['Action Horror', 'Werewolf', 'Christians', 'Pastor', 'Unbelieving Police', 'Life in a Small Town', 'Addiction', 'Dysfunctional Family', 'Fourth of July', 'Wheelchair User', 'Novel or Other Work Adapted by Author', 'Vigilante']",['Based on Fiction Book/Short Story'],['Live Action'],['Fantasy'],['United States'],10803211.0
848,Missing in Action 2: The Beginning,['Not Rated'],"['Vietnam War', 'War', 'Action Thriller', '1970s', '1980s', 'Prequel']",['Original Screenplay'],['Live Action'],['Historical Fiction'],['United States'],10755447.0
849,The Purple Rose of Cairo,['Not Rated'],"['Comedy Drama', '1930s', 'Fiction / Reality Crossover', 'Romance', 'Screenplay Written By the Star', 'Directing Yourself', 'Retro Black and White', 'Relationships Gone Wrong', 'Love Triangle', 'Tricked into a Relationship', 'Movie Business', 'Set in New Jersey']",['Original Screenplay'],['Live Action'],['Historical Fiction'],['United States'],10631333.0
850,After Hours,['R'],"['Relationships Gone Wrong', 'Black Comedy', 'Crime', 'Film Noir', 'Cult Movie', 'One Night', 'Framed', 'Set in New York City', 'Set in New York', 'Suicide', 'Artists', 'Fugitive / On the Run', 'Punk Rock']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],10609321.0
851,Compromising Positions,['R'],"['Comedy Drama', 'Murder Mystery', 'Life in a Small Town', 'Dentist', 'Infidelity', 'Sex Crimes', 'Relationships Gone Wrong', 'Novel or Other Work Adapted by Author']",['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],['United States'],10600000.0
852,American Ninja,['R'],"['Martial Arts', 'Action Adventure', 'Set in Philippines']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],10499000.0
853,Better Off Dead...,['PG'],"['Winter Sports', 'Skiing', 'Suicide', 'Relationships Gone Wrong', 'Foreign Language', 'Non-Chronological', 'Narcotics', 'Slobs vs. Snobs', 'Cult Movie', 'Black Comedy']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],10297601.0
854,Lost in America,['Not Rated'],"['Satire', 'Satirical Comedy', 'Road Trip', 'Gambling', 'Riches to Rags', 'Fired', 'Advertising and Marketing', 'Life in a Small Town', 'Relationships Gone Wrong', 'Money Troubles', 'Directing Yourself', 'Screenplay Written By the Star']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],10079206.0
855,Once Bitten,['PG-13'],"['Vampire', 'Horror Comedy', 'Loss Of Virginity', 'First Love', 'Cult Movie']",['Original Screenplay'],['Live Action'],['Fantasy'],['United States'],9917242.0
856,Explorers,['PG'],['Shared Dreams'],['Original Screenplay'],['Live Action'],['Science Fiction'],['United States'],9873000.0
857,A Chorus Line,['PG-13'],['Performing Arts'],['Based on Musical or Opera'],['Live Action'],['Contemporary Fiction'],['United States'],14202899.0
858,Sweet Dreams,['Not Rated'],"['Biography', 'Biographical Drama', 'Country and Western Music', 'Singers', 'Relationships Gone Wrong', 'Domestic Abuse', '1960s', 'Plane Crash']",['Based on Real Life Events'],['Live Action'],['Dramatization'],['United States'],9100000.0
859,Target,['R'],"['Crime Thriller', 'Missing Person', 'Dysfunctional Family', 'Kidnap', 'C.I.A.', 'Set in East / West Berlin', 'Revenge', 'Double Agent']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],9023199.0
860,Cat's Eye,['Not Rated'],"['Segments', 'Horror Comedy', 'Addiction', 'Animal Lead', 'Gambling', 'Crime Boss', 'Infidelity', 'Revenge', 'Death of a Girlfriend / Boyfriend', 'Novel or Other Work Adapted by Author']",['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],['United States'],9000114.0
861,Gotcha,['PG-13'],"['Action Comedy', 'Cold War', 'Secret Agent', 'Mistaken Identity', 'Set in East / West Berlin', 'Romance', 'Set in Los Angeles', 'Commies']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],8823269.0
862,The Man With One Red Shoe,['PG'],"['Crime Comedy', 'C.I.A.', 'Mistaken Identity', 'Government Corruption', 'Musicians', 'Romance']",['Remake'],['Live Action'],['Contemporary Fiction'],['United States'],8645411.0
863,That Was Then… This is Now,['R'],"['Coming of Age', 'Coming-of-Age Drama', 'Juvenile Delinquent', 'Drug Dealer', 'Romance', 'Missing Person', 'Screenplay Written By the Star']",['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],['United States'],8630068.0
864,Secret Admirer,['Not Rated'],['Romance'],['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],8622973.0
865,Enemy Mine,['PG-13'],"['Enemies Forced to Work Together', 'War', 'Marooned', 'Unexpected Pregnancy', 'Unexpected Families', 'Slavery', 'Rescue', 'Cult Movie', 'Action Adventure']",['Original Screenplay'],['Live Action'],['Science Fiction'],"['Germany', 'United States']",12303411.0
866,The Journey of Natty Gann,['Not Rated'],"['Family Adventure', '1930s', 'Set in Chicago', 'Great Depression', 'Money Troubles', 'Single Parent', 'Young Child Dealing with the Death of a Parent', 'Road Trip', 'Homeless', 'Animal Lead']",['Original Screenplay'],['Live Action'],['Historical Fiction'],['United States'],9468512.0
867,Transylvania 6-5000,['PG'],"['Spoof', 'Vampire', 'Werewolf', 'Horror Comedy', 'Mummy', 'Tabloid Journalism', 'Missing Person', 'Unbelieving Police', 'Rescue', 'Romani', 'Single Parent', ""Frankenstien's Monster"", 'Monster', 'Cult Movie']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],"['The Former Yugoslav Republic of Macedonia', 'United States']",7200000.0
868,Stick,['Not Rated'],"['Mafia', 'Action Thriller', 'Crime', 'Life on the Outside', 'Drug Dealer', 'Dysfunctional Family', 'Fugitive / On the Run', 'Kidnap', 'Voodoo', 'Rescue', 'Romance', 'Going Legit', 'Directing Yourself', 'Novel or Other Work Adapted by Author']",['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],['United States'],6964734.0
869,Red Sonja,['PG-13'],"['Sword & Sorcerer', 'Action Adventure', 'Sex Crimes', 'LGBTQ+', 'Young Child Dealing with the Death of a Parent', 'Death of a Sibling', 'Revenge']",['Based on Fiction Book/Short Story'],['Live Action'],['Fantasy'],"['Netherlands', 'United States']",6908640.0
870,Into the Night,['Not Rated'],"['Action Comedy', 'Relationships Gone Wrong', 'Infidelity', 'Insomnia', 'Smuggler', 'Fugitive / On the Run', 'Crime', 'Romance', 'Gratuitous Cameos']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],6720160.0
871,D.A.R.Y.L.,['Not Rated'],"['Robot', 'Family Drama', 'Faulty Memory', 'Baseball', 'Foster Family', 'Military Stealing New Invention', 'Scientific Experiment Gone Awry', 'Faked Death']",['Original Screenplay'],['Live Action'],['Science Fiction'],"['United Kingdom', 'United States']",6561653.0
872,Girls Just Want to Have Fun,['Not Rated'],"['Dancing', 'TV Industry', 'New Guy/Girl in School', 'Romance', 'Cross-Class Romance', 'Religious', 'Training Montage', 'Romantic Comedy']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],6326051.0
873,Plenty,['Not Rated'],"['Life Drama', '1940s', 'World War II', '1950s', 'French Resistance', 'Romance', 'Relationships Gone Wrong', '1960s', 'Political', 'Mental Illness']",['Based on Play'],['Live Action'],['Historical Fiction'],['United States'],6104212.0
874,Day of the Dead,['Not Rated'],"['Supernatural', 'Psychological Horror', 'Post Apocalypse', 'Zombies', 'Cult Movie', 'Human Experimentation', 'Mad Scientist', 'Depression', 'Suicide']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],34004262.0
875,Brazil,['R'],"['Visual Effects', 'Film Noir', 'Dystopia', 'Government Bureaucracy', 'Intentionally Anachronistic', 'Dream Sequence', 'Surprise Twist', 'Directing Yourself', 'Director Cameo']",['Original Screenplay'],['Live Action'],['Fantasy'],['United States'],9934484.0
876,Rustlers' Rhapsody,['PG'],"['Spoof', 'Comedy Westerns', 'Voiceover/Narration', 'Surprise Twist']",['Original Screenplay'],['Live Action'],['Historical Fiction'],"['Spain', 'United States']",4847085.0
877,King David,['Not Rated'],"['Faith-Based Drama', 'Faith-Based Film', 'Famously Bad']",['Based on Fiction Book/Short Story'],['Live Action'],['Historical Fiction'],"['United Kingdom', 'United States']",4800000.0
878,The Company of Wolves,['Not Rated'],"['Gothic Horror', 'Segments', 'Werewolf', 'Romance', 'Forbidden Romance', 'Death of a Sibling', 'Novel or Other Work Adapted by Author']",['Original Screenplay'],['Live Action'],['Fantasy'],['United Kingdom'],4389334.0
879,The Mean Season,['Not Rated'],"['Film Noir', 'Crime Thriller', 'Serial Killer', 'Investigative Journalist', 'Freeze Frame']",['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],['United States'],4349446.0
880,Murphy's Romance,['PG-13'],['Romance'],['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],30762621.0
